STUDY,YEAR,REP,ROTATION,TILLAGE,DEPTH,PLOT,SBD,EC,PH,NO3N,OLSONP,SO4S,CA,MG,K,NA,CEC,ZN,FE,MN,CU,B,TN,TC,SOC,SIC
SQM,2018,1,SWCcc,min,0to3,101,1.45,0.20,5.60,6.8,31.1,12.2,8.22,3.29,0.91,0.03,19.81,3.94,66.32,95.36,1.43,0.54,2.0,23.3,23.3,0.0
SQM,2018,1,SWCcc,min,3to6,101,1.40,0.15,6.07,5.0,7.5,8.8,7.79,3.13,0.40,0.04,13.30,5.64,37.85,52.70,1.82,0.48,1.6,18.5,18.5,0.0
SQM,2018,1,SWCcc,min,6to12,101,1.33,0.17,6.47,3.9,9.7,5.4,9.39,4.49,0.37,0.05,14.33,1.35,17.14,23.05,1.21,0.44,1.2,12.8,12.8,0.0
SQM,2018,1,SWCcc,min,12to24,101,1.38,0.32,7.44,1.8,4.8,5.9,7.34,3.94,0.20,0.05,11.56,0.41,9.62,6.41,1.56,0.35,0.7,7.4,7.0,0.4
SQM,2018,1,SWCcc,min,24to36,101,1.61,0.31,8.33,0.9,4.1,4.7,19.51,7.15,0.33,0.07,27.05,0.43,11.15,2.52,1.74,0.37,0.4,12.3,6.7,5.6
SQM,2018,1,SWCcc,min,36to48,101,1.57,0.33,8.46,1.3,4.5,5.2,17.13,8.18,0.32,0.11,25.75,0.46,11.95,2.04,1.80,0.30,0.4,13.2,6.2,7.1
SQM,2018,1,SWCcc,min,48to60,101,-9999,0.37,8.53,1.1,5.6,7.2,16.52,9.60,0.36,0.19,26.70,1.08,9.16,2.73,3.14,0.34,0.3,11.3,4.7,6.6
SQM,2018,1,SWCcc,no,0to3,102,1.47,0.21,5.45,11.0,31.3,14.2,7.77,3.15,0.78,0.04,15.25,1.87,65.09,87.34,1.27,0.53,2.0,23.6,23.6,0.0
SQM,2018,1,SWCcc,no,3to6,102,1.46,0.20,5.78,8.9,8.3,11.2,9.49,3.87,0.48,0.05,17.02,2.17,49.42,64.50,3.76,0.48,1.6,18.9,18.9,0.0
SQM,2018,1,SWCcc,no,6to12,102,1.30,0.20,6.25,4.5,6.2,6.9,9.63,4.57,0.38,0.06,14.66,0.57,35.14,29.90,1.54,0.44,1.4,14.4,14.4,0.0
SQM,2018,1,SWCcc,no,12to24,102,1.43,0.16,6.82,1.7,4.4,5.8,6.36,4.45,0.23,0.06,11.08,0.63,15.54,9.52,2.22,0.52,0.7,6.7,6.7,0.0
SQM,2018,1,SWCcc,no,24to36,102,1.53,0.32,8.25,0.8,4.9,4.7,18.86,7.10,0.30,0.08,26.29,0.83,11.49,2.82,2.86,0.41,0.4,10.3,5.5,4.8
SQM,2018,1,SWCcc,no,36to48,102,1.55,0.35,8.48,0.8,3.8,5.8,18.03,8.85,0.31,0.12,27.31,0.90,16.33,2.53,2.92,0.32,0.3,12.6,4.8,7.7
SQM,2018,1,SWCcc,no,48to60,102,-9999,0.37,8.43,0.8,5.2,6.2,14.72,9.91,0.37,0.17,25.18,0.89,11.08,2.62,2.66,0.30,0.3,9.8,5.2,4.6
SQM,2018,1,SWCcc,no,0to3,103,1.14,0.15,5.39,4.3,41.2,13.6,8.92,3.46,0.93,0.04,19.42,2.35,79.70,90.96,1.61,0.50,2.1,25.3,25.3,0.0
SQM,2018,1,SWCcc,no,3to6,103,1.35,0.15,5.55,3.1,14.0,11.0,8.99,3.39,0.41,0.05,16.40,2.06,93.06,77.24,3.56,0.48,1.9,21.4,21.4,0.0
SQM,2018,1,SWCcc,no,6to12,103,1.33,0.15,6.30,2.5,6.5,6.2,12.01,5.30,0.43,0.06,19.10,0.91,24.23,29.86,1.94,0.46,1.6,16.6,16.6,0.0
SQM,2018,1,SWCcc,no,12to24,103,1.31,0.18,6.92,1.8,5.4,5.3,9.24,5.67,0.30,0.07,15.24,0.56,11.17,9.03,1.90,0.49,0.9,8.7,8.7,0.0
SQM,2018,1,SWCcc,no,24to36,103,1.50,0.34,8.28,0.9,4.3,4.9,19.69,7.41,0.31,0.08,27.53,0.76,35.17,4.93,2.96,0.47,0.5,11.0,2.4,8.6
SQM,2018,1,SWCcc,no,36to48,103,1.65,0.33,8.51,1.2,4.5,5.5,18.21,8.57,0.30,0.12,27.16,0.75,18.89,3.21,2.64,0.34,0.3,13.3,7.5,5.7
SQM,2018,1,SWCcc,no,48to60,103,-9999,0.30,8.59,0.9,4.3,7.8,16.92,10.21,0.35,0.18,27.70,0.67,21.48,4.18,2.34,0.32,0.2,11.3,4.9,6.4
SQM,2018,1,SWCcc,min,0to3,104,1.13,0.15,5.60,3.1,24.5,13.7,7.92,3.08,0.95,0.04,15.53,3.06,73.09,95.51,1.38,0.57,2.3,27.1,27.1,0.0
SQM,2018,1,SWCcc,min,3to6,104,1.34,0.13,5.68,2.6,11.4,7.9,10.02,3.72,0.51,0.03,17.74,1.56,57.69,69.04,2.58,0.48,2.0,22.4,22.4,0.0
SQM,2018,1,SWCcc,min,6to12,104,1.30,0.11,6.20,2.6,5.3,6.0,10.09,4.38,0.38,0.05,15.78,0.67,22.85,29.82,1.40,0.43,1.5,15.8,15.8,0.0
SQM,2018,1,SWCcc,min,12to24,104,1.35,0.21,7.16,0.9,5.5,4.5,11.29,5.37,0.29,0.05,17.02,0.73,25.10,9.82,2.43,0.32,0.9,9.3,9.3,0.0
SQM,2018,1,SWCcc,min,24to36,104,1.48,0.28,8.28,1.0,4.4,5.7,21.10,6.51,0.29,0.07,27.98,0.36,7.77,2.62,1.74,0.40,0.4,14.1,6.0,8.1
SQM,2018,1,SWCcc,min,36to48,104,1.49,0.32,8.56,0.8,4.7,4.4,18.43,8.10,0.30,0.10,26.92,0.66,9.52,2.43,2.18,0.33,0.3,14.0,6.0,8.0
SQM,2018,1,SWCcc,min,48to60,104,1.39,0.30,8.58,0.7,5.5,7.4,16.13,9.17,0.32,0.17,25.80,0.69,18.79,4.19,2.41,0.37,0.2,10.2,4.4,5.7
SQM,2018,1,SWCcc,no,0to3,105,1.18,0.14,5.30,4.4,31.1,13.2,8.66,3.67,0.82,0.04,19.16,2.15,74.68,104.53,2.22,0.54,2.1,24.5,24.5,0.0
SQM,2018,1,SWCcc,no,3to6,105,1.42,0.15,5.89,4.3,6.9,8.7,9.06,3.61,0.37,0.18,15.56,1.14,49.89,58.74,2.19,0.46,1.7,19.2,19.2,0.0
SQM,2018,1,SWCcc,no,6to12,105,1.33,0.17,6.41,3.0,5.1,5.3,9.93,4.85,0.33,0.06,15.19,0.86,18.60,21.13,2.23,0.44,1.2,12.6,12.6,0.0
SQM,2018,1,SWCcc,no,12to24,105,1.34,0.32,7.55,2.3,4.7,4.9,14.24,5.46,0.25,0.06,20.05,0.87,12.95,6.91,2.86,0.37,0.7,8.3,7.3,0.9
SQM,2018,1,SWCcc,no,24to36,105,1.51,0.33,8.50,1.0,4.1,7.1,20.28,7.24,0.29,0.08,27.91,0.48,9.34,2.33,1.95,0.38,0.4,18.2,5.6,12.6
SQM,2018,1,SWCcc,no,36to48,105,1.62,0.34,8.64,0.5,4.2,9.1,17.33,8.50,0.29,0.11,26.25,0.86,41.57,9.08,2.72,0.35,0.3,13.3,4.9,8.4
SQM,2018,1,SWCcc,no,48to60,105,1.45,0.36,8.53,0.7,9.7,8.5,15.13,9.89,0.34,0.17,25.52,0.43,8.38,2.53,1.39,0.35,0.3,11.1,5.4,5.7
SQM,2018,1,SWCcc,min,0to3,106,1.07,0.16,5.38,3.8,24.3,12.7,6.86,2.90,0.62,0.03,14.80,2.62,67.65,93.84,2.66,0.53,2.2,24.7,24.7,0.0
SQM,2018,1,SWCcc,min,3to6,106,1.47,0.17,5.70,3.6,8.6,9.2,9.10,3.81,0.39,0.05,16.52,1.58,46.06,62.87,1.97,0.44,1.6,17.9,17.9,0.0
SQM,2018,1,SWCcc,min,6to12,106,1.34,0.17,6.39,1.7,4.9,6.3,8.47,4.18,0.27,0.05,12.93,0.63,15.56,21.30,1.47,0.42,1.1,11.4,11.4,0.0
SQM,2018,1,SWCcc,min,12to24,106,1.35,0.40,7.75,1.5,4.3,6.1,15.29,5.65,0.25,0.06,21.29,0.77,10.01,4.86,2.57,0.37,0.8,11.5,9.7,1.8
SQM,2018,1,SWCcc,min,24to36,106,1.55,0.34,8.48,1.6,4.1,4.5,20.02,7.83,0.29,0.08,28.22,0.90,11.97,4.67,3.00,0.39,0.3,15.4,6.1,9.3
SQM,2018,1,SWCcc,min,36to48,106,1.57,0.36,8.56,2.0,4.8,4.5,15.15,8.78,0.29,0.12,24.38,0.44,9.07,3.32,1.63,0.31,0.1,12.5,5.9,6.5
SQM,2018,1,SWCcc,min,48to60,106,-9999,0.34,8.63,1.6,5.5,12.2,13.40,11.14,0.38,0.22,25.12,0.80,9.64,3.02,2.36,0.44,0.2,9.5,4.9,4.6
SQM,2018,1,SWS,no,0to3,109,1.25,0.18,5.22,8.5,25.7,11.8,6.83,3.13,0.41,0.04,12.93,5.68,125.17,78.04,6.11,0.43,2.0,24.8,24.8,0.0
SQM,2018,1,SWS,no,3to6,109,1.35,0.20,5.50,7.1,7.8,7.4,8.32,3.38,0.30,0.05,17.93,1.85,66.59,74.73,2.45,0.41,1.5,18.0,18.0,0.0
SQM,2018,1,SWS,no,6to12,109,1.34,0.16,6.05,5.0,5.3,5.0,8.33,4.22,0.28,0.05,15.75,1.23,39.18,35.29,1.76,0.39,1.1,11.7,11.7,0.0
SQM,2018,1,SWS,no,12to24,109,1.42,0.40,7.50,2.1,4.6,2.6,11.02,5.24,0.25,0.06,16.60,0.90,13.30,8.25,1.82,0.31,0.7,8.4,7.7,0.7
SQM,2018,1,SWS,no,24to36,109,1.51,0.36,8.31,1.3,4.5,2.9,19.54,7.58,0.27,0.08,27.43,1.33,16.34,4.08,3.27,0.42,0.3,15.7,8.5,7.3
SQM,2018,1,SWS,no,36to48,109,1.59,0.36,8.53,0.5,5.3,4.9,15.83,8.73,0.27,0.13,24.96,0.92,12.72,4.47,1.95,0.36,0.2,11.8,6.1,5.8
SQM,2018,1,SWS,no,48to60,109,-9999,0.36,8.59,0.9,4.9,7.5,14.88,10.40,0.33,0.21,25.85,1.08,12.05,3.40,2.08,0.38,0.2,9.7,5.5,4.2
